"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation","State","Confidence_Limit_Spread"
2011,"AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,638",21.2,19.9,22.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",1,"BO1","CAT1","ADDEPEV2","RESP046","(32.84057112200048, -86.63186076199969)","AL",2.6
2011,"AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","608",16.5,14.8,18.3,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",2,"BO1","CAT1","ADDEPEV2","RESP046","(64.84507995700051, -147.72205903599973)","AK",3.5
2011,"AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,231",17.5,15.7,19.2,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",4,"BO1","CAT1","ADDEPEV2","RESP046","(34.865970280000454, -111.76381127699972)","AZ",3.5
2011,"AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","970",22.8,20.9,24.7,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",5,"BO1","CAT1","ADDEPEV2","RESP046","(34.74865012400045, -92.27449074299966)","AR",3.8
2011,"CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,321",12.3,11.7,13,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",6,"BO1","CAT1","ADDEPEV2","RESP046","(37.63864012300047, -120.99999953799971)","CA",1.3
2011,"CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,425",17.6,16.6,18.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",8,"BO1","CAT1","ADDEPEV2","RESP046","(38.843840757000464, -106.13361092099967)","CO",1.9
2011,"CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,156",15.4,14.2,16.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",9,"BO1","CAT1","ADDEPEV2","RESP046","(41.56266102000046, -72.64984095199964)","CT",2.3
2011,"DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","702",14.2,12.8,15.6,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",10,"BO1","CAT1","ADDEPEV2","RESP046","(39.008830667000495, -75.57774116799965)","DE",2.8
2011,"DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","755",16,14.4,17.7,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",11,"BO1","CAT1","ADDEPEV2","RESP046","(38.89037138500049, -77.03196112699965)","DC",3.3
2011,"FL","Florida","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,254",16.5,15.4,17.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",12,"BO1","CAT1","ADDEPEV2","RESP046","(28.932040377000476, -81.92896053899966)","FL",2.1
2011,"GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,491",14.9,13.8,16,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",13,"BO1","CAT1","ADDEPEV2","RESP046","(32.83968109300048, -83.62758034599966)","GA",2.2
2011,"HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","907",10.6,9.5,11.7,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",15,"BO1","CAT1","ADDEPEV2","RESP046","(21.304850435000446, -157.85774940299973)","HI",2.2
2011,"ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,253",19.6,18.1,21.1,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",16,"BO1","CAT1","ADDEPEV2","RESP046","(43.682630005000476, -114.3637300419997)","ID",3
2011,"IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","900",16.3,14.9,17.8,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",17,"BO1","CAT1","ADDEPEV2","RESP046","(40.48501028300046, -88.99771017799969)","IL",2.9
2011,"IN","Indiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,717",20.8,19.6,22,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",18,"BO1","CAT1","ADDEPEV2","RESP046","(39.766910452000445, -86.14996019399968)","IN",2.4
2011,"IA","Iowa","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,074",15.2,14.1,16.2,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",19,"BO1","CAT1","ADDEPEV2","RESP046","(42.46940091300047, -93.81649055599968)","IA",2.1
2011,"KS","Kansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","3,360",15.9,15.2,16.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",20,"BO1","CAT1","ADDEPEV2","RESP046","(38.34774030000045, -98.20078122699965)","KS",1.3
2011,"KY","Kentucky","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,213",19.7,18.5,20.9,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",21,"BO1","CAT1","ADDEPEV2","RESP046","(37.645970271000465, -84.77497104799966)","KY",2.4
2011,"LA","Louisiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,982",18.1,16.9,19.2,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",22,"BO1","CAT1","ADDEPEV2","RESP046","(31.31266064400046, -92.44568007099969)","LA",2.3
2011,"ME","Maine","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","3,133",24.4,23.4,25.4,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",23,"BO1","CAT1","ADDEPEV2","RESP046","(45.254228894000505, -68.98503133599962)","ME",2
2011,"MD","Maryland","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,401",13.6,12.5,14.6,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",24,"BO1","CAT1","ADDEPEV2","RESP046","(39.29058096400047, -76.60926011099963)","MD",2.1
2011,"MA","Massachusetts","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","3,914",16.7,15.8,17.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",25,"BO1","CAT1","ADDEPEV2","RESP046","(42.27687047000046, -72.08269067499964)","MA",1.7
2011,"MI","Michigan","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,262",20.7,19.5,21.8,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",26,"BO1","CAT1","ADDEPEV2","RESP046","(44.6613195430005, -84.71439026999968)","MI",2.3
2011,"MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,452",15.1,14.3,16,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",27,"BO1","CAT1","ADDEPEV2","RESP046","(46.35564873600049, -94.79420050299967)","MN",1.7
2011,"MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,755",18.9,17.8,20.1,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",28,"BO1","CAT1","ADDEPEV2","RESP046","(32.745510099000455, -89.53803082499968)","MS",2.3
2011,"MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,289",20.1,18.7,21.6,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",29,"BO1","CAT1","ADDEPEV2","RESP046","(38.635790776000476, -92.56630005299968)","MO",2.9
2011,"MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,125",20.5,19.3,21.7,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",30,"BO1","CAT1","ADDEPEV2","RESP046","(47.06652897200047, -109.42442064499971)","MT",2.4
2011,"NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","4,327",16.9,16.2,17.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",31,"BO1","CAT1","ADDEPEV2","RESP046","(41.6410409880005, -99.36572062299967)","NE",1.3
2011,"NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","999",15.8,14.2,17.3,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",32,"BO1","CAT1","ADDEPEV2","RESP046","(39.493240390000494, -117.07184056399967)","NV",3.1
2011,"NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,381",21.8,20.3,23.2,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",33,"BO1","CAT1","ADDEPEV2","RESP046","(43.65595011300047, -71.50036091999965)","NH",2.9
2011,"NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,889",11.1,10.4,11.8,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",34,"BO1","CAT1","ADDEPEV2","RESP046","(40.13057004800049, -74.27369128799967)","NJ",1.4
2011,"NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,006",20.4,19.4,21.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",35,"BO1","CAT1","ADDEPEV2","RESP046","(34.52088095200048, -106.24058098499967)","NM",2.1
2011,"NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,285",15.9,14.8,17,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",36,"BO1","CAT1","ADDEPEV2","RESP046","(42.82700103200045, -75.54397042699964)","NY",2.2
2011,"NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,151",17.5,16.4,18.5,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",37,"BO1","CAT1","ADDEPEV2","RESP046","(35.466220975000454, -79.15925046299964)","NC",2.1
2011,"ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","864",17.3,15.9,18.7,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",38,"BO1","CAT1","ADDEPEV2","RESP046","(47.47531977900047, -100.11842104899966)","ND",2.8
2011,"OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1,768",17.7,16.6,18.8,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",39,"BO1","CAT1","ADDEPEV2","RESP046","(40.06021014100048, -82.40426005599966)","OH",2.2
2011,"OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,052",21.9,20.7,23.1,"1","%","Crude Prevalence","","","BRFSS","CLASS03","Topic17",40,"BO1","CAT1","ADDEPEV2","RESP046","(35.47203135600046, -97.52107021399968)","OK",2.4
